project,repository,category,id,mode,referenceRuntimeMode,implementation,tests,knownLimitations
"Everbloom Worlds","xingxuling/everbloom-worlds","cross-domain-axis","causality-evidence","bridge","","utterance, context, pipeline and world roots","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","4r-control","explicit-variable","bridge","","Foundation pipeline explicitVariables and uncertainty","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","4r-control","provider-capability-boundary","bridge","","resolved GameBrain provider and verified fallback provider","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","4r-control","authorization-evidence","bridge","","GameBrain authority result plus source evidence","scripts/verify-foundation-bridge.mjs",""
"Everbloom Worlds","xingxuling/everbloom-worlds","4r-control","adaptive-invariant-field","bridge","","GameBrain candidate AIF and freeze-for-clarification","scripts/verify-foundation-bridge.mjs",""
"Aether Earth Android","RNCS subproject","domain","metacomputation","none","","","",""
"Aether Earth Android","RNCS subproject","domain","computation","none","","","",""
"Aether Earth Android","RNCS subproject","domain","physical","bridge","","RCL biomass and grid policy consumed by WorldStateEngine","FoundationProviderBridgeTest.rclPhysicalRuleChangesWorldBiomass","typed facet provider subset, not embedded native VM"
"Aether Earth Android","RNCS subproject","domain","energy","bridge","","RCL energy cost and forage gain policy consumed by WorldStateEngine","scripts/verify-aether-earth-android-foundation.mjs","typed facet provider subset"
"Aether Earth Android","RNCS subproject","domain","elemental","none","","","",""
"Aether Earth Android","RNCS subproject","domain","perception","none","","","",""
"Aether Earth Android","RNCS subproject","domain","neural","none","","","",""
"Aether Earth Android","RNCS subproject","domain","embodiment","projection","","Java agent state","","not governed by a standard Foundation result"
"Aether Earth Android","RNCS subproject","domain","life","projection","","Java organism loop","","physical and energy inputs are bridged, life logic remains Java"
"Aether Earth Android","RNCS subproject","domain","genetic","projection","","Java generation counter","","not an RCL provider"
"Aether Earth Android","RNCS subproject","domain","quantitative","none","","","",""
"Aether Earth Android","RNCS subproject","domain","knowledge","projection","","Java knowledge counter","","not an RCL provider"
"Aether Earth Android","RNCS subproject","domain","scientific","asset","","world.scientific_evidence_required facet","","declared but not a scientific runtime"
"Aether Earth Android","RNCS subproject","domain","spiritual","none","","","",""
"Aether Earth Android","RNCS subproject","composite-plane","natural-language-reality","none","","","",""
"Aether Earth Android","RNCS subproject","composite-plane","understanding-reality","none","","","",""
"Aether Earth Android","RNCS subproject","composite-plane","creative-reality","none","","","",""
"Aether Earth Android","RNCS subproject","composite-plane","inner-reality","none","","","",""
"Aether Earth Android","RNCS subproject","composite-plane","execution-reality","bridge","","FoundationProviderBridge.evaluateAdvance","",""
"Aether Earth Android","RNCS subproject","meta-plane","meta-spacetime","none","","","",""
"Aether Earth Android","RNCS subproject","meta-plane","meta-acceleration","none","","","",""
"Aether Earth Android","RNCS subproject","meta-plane","meta-compression","projection","","gzip SharedPreferences capsule outside RCL","",""
"Aether Earth Android","RNCS subproject","cross-domain-axis","authority-boundary","bridge","","max advance capability rejection","",""
"Aether Earth Android","RNCS subproject","cross-domain-axis","causality-evidence","bridge","","source root, contract root and deterministic replay root","",""
"Aether Earth Android","RNCS subproject","4r-control","explicit-variable","bridge","","","",""
"Aether Earth Android","RNCS subproject","4r-control","provider-capability-boundary","bridge","","","",""
"Aether Earth Android","RNCS subproject","4r-control","authorization-evidence","bridge","","","",""
"Aether Earth Android","RNCS subproject","4r-control","adaptive-invariant-field","bridge","","","",""
"Aether Forge Pocket","independent repository not present","domain","metacomputation","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","computation","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","physical","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","energy","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","elemental","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","perception","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","neural","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","embodiment","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","life","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","genetic","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","quantitative","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","knowledge","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","scientific","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","domain","spiritual","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","composite-plane","natural-language-reality","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","composite-plane","understanding-reality","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","composite-plane","creative-reality","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","composite-plane","inner-reality","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","composite-plane","execution-reality","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","meta-plane","meta-spacetime","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","meta-plane","meta-acceleration","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","meta-plane","meta-compression","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","cross-domain-axis","authority-boundary","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","cross-domain-axis","causality-evidence","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","4r-control","explicit-variable","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","4r-control","provider-capability-boundary","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","4r-control","authorization-evidence","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
"Aether Forge Pocket","independent repository not present","4r-control","adaptive-invariant-field","none","","BLOCKED: No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository.","","No independent Aether_Forge_Pocket checkout was found. The RNCS internal product-card artifact is projection-only and is not treated as the product repository."
